Transformed_Feature,Coefficient,Absolute_Coefficient
cat__city_city_118,0.1286350626001521,0.1286350626001521
cat__company_type_Other,0.1253670636440014,0.1253670636440014
cat__experience_16,-0.12473980785970869,0.12473980785970869
cat__city_city_46,0.11712143449210237,0.11712143449210237
cat__city_city_139,0.1170935597764117,0.1170935597764117
cat__city_city_71,0.11659748107780281,0.11659748107780281
cat__enrolled_university_no_enrollment,-0.1149570401530873,0.1149570401530873
cat__experience_20,0.11271584940312152,0.11271584940312152
cat__city_city_136,-0.1112982764777952,0.1112982764777952
cat__city_city_104,-0.10828720566273406,0.10828720566273406
cat__city_city_24,-0.10796382006693046,0.10796382006693046
cat__city_city_41,0.10417565947982896,0.10417565947982896
cat__city_city_67,-0.103503052101989,0.103503052101989
cat__city_city_13,-0.10260350301860983,0.10260350301860983
cat__company_size_100-500,-0.10120605870563103,0.10120605870563103
cat__experience_17,-0.10114923186675925,0.10114923186675925
cat__education_level_Masters,0.10054395658308544,0.10054395658308544
cat__company_size_500-999,-0.10023903374755919,0.10023903374755919
cat__education_level_Phd,0.09967835377403382,0.09967835377403382
cat__city_city_91,0.09802599624570645,0.09802599624570645
cat__gender_Male,-0.09713122732728183,0.09713122732728183
cat__company_size_1000-4999,-0.09483714970098268,0.09483714970098268
cat__city_city_141,-0.09392080733197697,0.09392080733197697
cat__city_city_36,-0.09092104230534853,0.09092104230534853
cat__city_city_55,-0.08505005149581468,0.08505005149581468
cat__company_type_Early Stage Startup,-0.0822443756572627,0.0822443756572627
cat__major_discipline_Other,-0.08126849695750336,0.08126849695750336
cat__city_city_79,0.08075532674177058,0.08075532674177058
cat__city_city_173,-0.0803608980157154,0.0803608980157154
cat__city_city_159,-0.07728342417467049,0.07728342417467049
cat__company_type_Public Sector,0.07652918330840129,0.07652918330840129
cat__city_city_123,0.07629258704089643,0.07629258704089643
cat__company_size_5000-9999,-0.07219210541682707,0.07219210541682707
cat__city_city_176,0.0692180728950153,0.0692180728950153
cat__company_size_10000+,-0.06752285677641591,0.06752285677641591
cat__company_size_10/49,0.06706605127816005,0.06706605127816005
cat__city_city_131,0.06671197809993162,0.06671197809993162
cat__major_discipline_Humanities,-0.06511105700036732,0.06511105700036732
cat__experience_11,0.06506464511463714,0.06506464511463714
cat__city_city_44,0.06180193415583028,0.06180193415583028
cat__city_city_26,-0.061010799147665336,0.061010799147665336
cat__city_city_19,0.061004179914914775,0.061004179914914775
cat__city_city_166,0.06085154578242789,0.06085154578242789
cat__experience_7,0.05969871566395846,0.05969871566395846
cat__gender_Female,-0.058274748232179284,0.058274748232179284
cat__city_city_54,0.05720591050270648,0.05720591050270648
cat__city_city_109,-0.05660284769710241,0.05660284769710241
cat__experience_12,-0.0564307095370215,0.0564307095370215
cat__experience_13,-0.055964803972655824,0.055964803972655824
cat__city_city_101,0.05429389753322575,0.05429389753322575
cat__city_city_31,0.0539714414243842,0.0539714414243842
cat__city_city_73,0.053502459944863225,0.053502459944863225
cat__city_city_45,0.05238811846179948,0.05238811846179948
cat__city_city_1,-0.05167106661035877,0.05167106661035877
cat__major_discipline_Business Degree,0.05099917345901005,0.05099917345901005
cat__experience_15,-0.050282509300470034,0.050282509300470034
cat__experience_>20,-0.048874117270780525,0.048874117270780525
cat__last_new_job_4,0.04860100615080021,0.04860100615080021
cat__city_city_50,-0.046483076633481266,0.046483076633481266
cat__city_city_76,0.04635828102033118,0.04635828102033118
cat__enrolled_university_Part time course,-0.04446009237593141,0.04446009237593141
cat__last_new_job_2,0.044157017188472154,0.044157017188472154
cat__relevent_experience_No relevent experience,0.040979081073581,0.040979081073581
cat__experience_3,0.04084621935871971,0.04084621935871971
cat__company_type_Pvt Ltd,0.040656216994994006,0.040656216994994006
cat__city_city_133,-0.03898001289331166,0.03898001289331166
cat__company_size_<10,-0.03891927915521149,0.03891927915521149
cat__city_city_33,-0.03778771909330807,0.03778771909330807
cat__city_city_102,-0.03767812336743939,0.03767812336743939
cat__experience_<1,0.03593647601526574,0.03593647601526574
cat__city_city_134,-0.03488984317229334,0.03488984317229334
cat__experience_10,-0.03397591622447241,0.03397591622447241
cat__city_city_107,-0.03277549946267225,0.03277549946267225
cat__experience_2,-0.03155231247330585,0.03155231247330585
cat__major_discipline_STEM,-0.030579186690115317,0.030579186690115317
cat__company_type_NGO,-0.030022384300999468,0.030022384300999468
cat__enrolled_university_Full time course,0.02990990280450111,0.02990990280450111
cat__experience_14,0.029092126819741132,0.029092126819741132
cat__city_city_28,0.028896910850079074,0.028896910850079074
cat__city_city_84,0.02775279151960637,0.02775279151960637
cat__city_city_80,-0.027121263889241642,0.027121263889241642
cat__gender_Other,0.025898745835889338,0.025898745835889338
cat__city_city_48,-0.02519075488243954,0.02519075488243954
cat__city_city_98,-0.023601569004688665,0.023601569004688665
